activities,cycleTime,edit,test,resrouces,interactingIDE,other,work
2,17,1,1,0,0,0,Debugging
2,21,1,1,0,0,0,Debugging
2,39,1,1,0,0,0,Debugging
2,27,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,36,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
4,137,2,1,1,0,0,Debugging
7,136,4,1,2,0,0,Debugging
2,17,1,1,0,0,0,Debugging
2,59,1,1,0,0,0,Debugging
2,23,1,1,0,0,0,Debugging
4,20,3,1,0,0,0,Debugging
2,14,1,1,0,0,0,Debugging
2,13,1,1,0,0,0,Debugging
2,23,1,1,0,0,0,Debugging
6,53,5,1,0,0,0,Debugging
2,131,1,1,0,0,0,Debugging
3,46,2,1,0,0,0,Debugging
10,56,9,1,0,0,0,Debugging
3,12,2,1,0,0,0,Debugging
2,17,1,1,0,0,0,Debugging
9,63,8,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,19,1,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
3,23,2,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
2,14,1,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,17,1,1,0,0,0,Debugging
3,21,2,1,0,0,0,Debugging
3,14,2,1,0,0,0,Debugging
3,69,2,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
4,56,3,1,0,0,0,Debugging
2,9,1,1,0,0,0,Debugging
2,29,1,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
7,80,3,1,2,0,1,Debugging
2,17,1,1,0,0,0,Debugging
3,21,1,1,1,0,0,Debugging
2,18,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,19,1,1,0,0,0,Debugging
2,30,1,1,0,0,0,Debugging
2,20,1,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
3,40,2,1,0,0,0,Debugging
2,57,1,1,0,0,0,Debugging
2,18,1,1,0,0,0,Debugging
5,29,4,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
2,30,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,14,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,8,1,1,0,0,0,Debugging
2,3,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
10,178,6,1,3,0,0,Debugging
2,43,1,1,0,0,0,Debugging
8,106,6,1,1,0,0,Debugging
5,95,2,1,2,0,0,Debugging
2,45,1,1,0,0,0,Debugging
2,46,1,1,0,0,0,Debugging
2,41,1,1,0,0,0,Debugging
2,64,1,1,0,0,0,Debugging
2,18,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,63,1,1,0,0,0,Debugging
2,26,1,1,0,0,0,Debugging
2,26,1,1,0,0,0,Debugging
2,38,1,1,0,0,0,Debugging
2,30,1,1,0,0,0,Debugging
2,69,1,1,0,0,0,Debugging
2,18,1,1,0,0,0,Debugging
2,30,1,1,0,0,0,Debugging
